District,frequency
Los Angeles ,1342
San Diego ,326
Los Angeles County Special Ed,297
Oakland ,241
San Francisco ,229
Fresno ,151
Sacramento City ,130
Los Angeles County Office of Education,128
San Juan ,122
Long Beach ,119
San Bernardino City ,117
Stockton ,104
West Contra Costa ,103
Santa Clara County Office of Education,97
Mt. Diablo ,90
San Jose ,89
Lodi ,87
Santa Ana ,79
Elk Grove ,79
Garden Grove ,78
Capistrano ,73
Hayward ,67
Twin Rivers ,66
Riverside ,64
Pasadena ,64
Fremont ,61
Corona-Norco ,61
Riverside County Office of Education,59
Clovis ,59
San Diego County Office of Education,58
Compton ,58
Fontana ,57
Orange ,55
Orange County Department of Education,55
Napa Valley ,54
Hacienda la Puente ,53
Visalia ,52
Torrance ,51
Pomona ,51
Irvine ,51
Chula Vista Elementary,51
Bakersfield City,50
Moreno Valley ,49
Newport-Mesa ,48
Folsom-Cordova ,48
Fairfield-Suisun ,48
Contra Costa County Office of Education,48
Sweetwater Union High,47
Cupertino Union,47
Santa Clara ,46
